Y,X1,X2,X3,X4
0.476218214,1,1.070888405,0.98240345,0.940679665
0.574652491,1,1.151506775,1.11612397,0.905247847
0.469884241,1,1.122167149,1.129906703,1.138146886
0.590129321,1,1.279006855,1.277954463,0.995875763
0.452345942,1,1.073170528,1.26582425,1.103566042
0.539090047,1,1.295231333,1.198141629,1.214591616
0.457127968,1,1.165517686,1.010334435,1.155159208
0.464899168,1,0.923027079,1.193125021,1.048737221
0.63208057,1,1.01135463,1.181954139,0.941878481
0.550834639,1,1.096206602,1.236318493,1.066149878
0.399079416,1,1.075971173,1.135607063,1.149421869
0.531433196,1,1.038401677,1.227591251,1.219483554
0.609699233,1,0.93124249,1.092936777,1.006598151
0.412191923,1,0.994624039,1.11292244,1.090804377
0.379667945,1,1.175628628,0.97684216,1.076567802
0.476902922,1,1.173660726,1.217029969,1.210473014
0.327120606,1,1.052908607,1.154186669,1.029173164
0.360835946,1,1.183867652,1.118813663,0.988409611
0.501163325,1,1.075220497,1.010888843,1.09407482
0.573714866,1,1.069146454,1.183694713,1.030999051
0.504443364,1,0.983187135,1.245366441,0.899042294
0.574533134,1,1.092695868,1.220287075,1.235940158
0.604579546,1,1.115806561,1.010413124,1.073254378
0.384659907,1,1.004175887,1.0414679,1.027385508
0.492316612,1,1.161702995,1.271535354,1.128808785
0.673431487,1,1.065677315,1.129644398,1.145414852
0.331277446,1,1.077726418,0.858720965,0.982627389
0.454192595,1,1.040321734,1.375518939,1.285302049
0.501266015,1,1.228393433,1.135583834,1.148359702
0.337406192,1,1.064062523,1.095770479,0.973957525
0.424852837,1,1.28347732,1.071455718,0.966077774
0.531789983,1,1.163963263,1.042412963,1.165546907
0.39005192,1,1.160804421,1.050171904,1.140308122
0.532547521,1,1.205064453,1.157108473,1.136141467
0.475200379,1,1.122454207,1.167777275,1.051729681
0.351664745,1,1.010398092,1.108797548,1.144421423
0.47992044,1,1.14762095,1.313368975,1.335127567
0.558045184,1,1.134238475,1.124752225,1.168639792
0.421391995,1,1.038982151,1.013774307,1.023736253
0.605230549,1,1.323393346,0.961565247,1.211336866
0.492299925,1,1.147046749,1.101631915,1.179177313
0.413109152,1,1.056894878,1.023832343,1.167546593
0.577371231,1,0.919365933,1.005393714,1.115222838
0.453457915,1,0.999004966,1.112821042,1.130589704
0.502117624,1,0.987271836,1.077894501,0.870326482
0.801548624,1,1.315149996,1.265496255,1.114100772
0.624574443,1,1.375917685,1.171168186,1.109427954
0.438404636,1,1.048075494,0.952936764,0.942508024
0.786659671,1,1.11320443,1.243784706,0.996720889
0.591067917,1,1.269149225,1.317205707,1.030840729
0.517373835,1,0.931663615,1.279268165,1.088196718
0.49635887,1,1.068736873,1.215055947,1.228365814
0.437189264,1,1.103958205,1.175502638,1.025754259
0.560634428,1,1.302361512,1.044589621,1.222473893
0.655551964,1,1.264714821,1.121192027,1.009352122
0.405845606,1,1.20730988,0.951824645,1.033922069
0.570843738,1,1.247012047,0.950429742,1.190475424
0.555863665,1,1.113379577,1.179386176,1.306075224
0.472305759,1,0.903983752,1.26978453,1.231027616
0.553863381,1,1.213628486,1.141075978,1.101211611
0.479152633,1,1.160616182,1.033605427,1.107060819
0.425551688,1,1.410446833,1.062173255,1.299478667
0.439470103,1,1.046225035,1.228070846,1.118139728
0.464237475,1,1.031955166,1.115670763,1.061647437
0.365377452,1,1.120244291,1.094246615,1.032655543
0.541924975,1,1.114309527,1.264491836,1.119145316
